target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples,v_full,n_source_islands
3,Selvær,6,70733252,10,wing,0.05235602094240838,10,0.16774476291515703,15
3,Selvær,6,70733252,20,wing,0.05235602094240838,10,0.16774476291515703,15
3,Selvær,6,70733252,40,wing,0.05235602094240838,10,0.16774476291515703,15
3,Selvær,6,70733252,80,wing,0.05235602094240838,10,0.16774476291515703,15
3,Selvær,6,70733252,150,wing,0.05235602094240838,10,0.16774476291515703,15
3,Selvær,6,841912110,10,wing,0.10471204188481675,20,0.5257501234941246,15
3,Selvær,6,841912110,20,wing,0.10471204188481675,20,0.5257501234941246,15
3,Selvær,6,841912110,40,wing,0.10471204188481675,20,0.5257501234941246,15
3,Selvær,6,841912110,80,wing,0.10471204188481675,20,0.5257501234941246,15
3,Selvær,6,841912110,150,wing,0.10471204188481675,20,0.5257501234941246,15
3,Selvær,6,750783006,10,wing,0.2094240837696335,40,0.41449407470915584,15
3,Selvær,6,750783006,20,wing,0.2094240837696335,40,0.41449407470915584,15
3,Selvær,6,750783006,40,wing,0.2094240837696335,40,0.41449407470915584,15
3,Selvær,6,750783006,80,wing,0.2094240837696335,40,0.41449407470915584,15
3,Selvær,6,750783006,150,wing,0.2094240837696335,40,0.41449407470915584,15
3,Selvær,6,608633906,10,wing,0.418848167539267,80,0.4405081690370129,15
3,Selvær,6,608633906,20,wing,0.418848167539267,80,0.4405081690370129,15
3,Selvær,6,608633906,40,wing,0.418848167539267,80,0.4405081690370129,15
3,Selvær,6,608633906,80,wing,0.418848167539267,80,0.4405081690370129,15
3,Selvær,6,608633906,150,wing,0.418848167539267,80,0.4405081690370129,15
3,Selvær,6,742669031,10,wing,0.7853403141361257,150,0.3277861244176674,15
3,Selvær,6,742669031,20,wing,0.7853403141361257,150,0.3277861244176674,15
3,Selvær,6,742669031,40,wing,0.7853403141361257,150,0.3277861244176674,15
3,Selvær,6,742669031,80,wing,0.7853403141361257,150,0.3277861244176674,15
3,Selvær,6,742669031,150,wing,0.7853403141361257,150,0.3277861244176674,15
5,Hestmannøy,6,262372455,10,wing,0.009478672985781991,10,0.1417156932810799,15
5,Hestmannøy,6,262372455,20,wing,0.009478672985781991,10,0.1417156932810799,15
5,Hestmannøy,6,262372455,40,wing,0.009478672985781991,10,0.1417156932810799,15
5,Hestmannøy,6,262372455,80,wing,0.009478672985781991,10,0.1417156932810799,15
5,Hestmannøy,6,262372455,150,wing,0.009478672985781991,10,0.1417156932810799,15
5,Hestmannøy,6,740224524,10,wing,0.018957345971563982,20,0.1314975627536077,15
5,Hestmannøy,6,740224524,20,wing,0.018957345971563982,20,0.1314975627536077,15
